Month,Total_Calories,Avg_Calories,Avg_Protein_g,Avg_Carbs_g,Avg_Fat_g,Avg_Water_ml
2022-01-31,32152.0,479.8805970149254,26.08032786885246,60.275,21.87543859649123,616.35
2022-02-28,43229.0,469.8804347826087,28.571084337349397,56.84303797468355,21.620512820512822,628.7682926829268
2022-03-31,42163.0,458.29347826086956,27.62168674698795,59.49333333333333,21.590243902439024,636.2345679012345
2022-04-30,46400.0,498.9247311827957,26.41375,56.20454545454545,21.955555555555556,662.8488372093024
2022-05-31,41341.0,459.34444444444443,24.96265060240964,57.86973684210527,20.83214285714286,727.0921052631579
2022-06-30,40439.0,459.53409090909093,26.0225,58.11282051282051,19.767532467532465,623.8148148148148
2022-07-31,49085.0,490.85,26.759756097560977,56.71758241758242,21.538095238095238,685.0449438202247
2022-08-31,48577.0,485.77,26.92093023255814,54.6876404494382,20.48409090909091,656.0108695652174
2022-09-30,45790.0,492.36559139784947,28.349999999999998,59.50365853658537,21.02,620.435294117647
2022-10-31,43900.0,482.4175824175824,26.80625,59.13461538461539,19.75679012345679,640.8354430379746
2022-11-30,45054.0,489.7173913043478,26.078048780487805,57.2,20.242168674698792,598.035294117647
2022-12-31,44944.0,473.09473684210525,29.406741573033706,58.60235294117647,21.33012048192771,658.3571428571429
2023-01-31,43832.0,471.31182795698925,28.328915662650605,57.97532467532468,21.643529411764707,611.8977272727273
2023-02-28,40953.0,470.7241379310345,27.302531645569623,56.577922077922075,20.3125,679.7236842105264
2023-03-31,48079.0,500.8229166666667,26.94567901234568,57.16477272727273,22.225882352941177,668.5747126436781
2023-04-30,39139.0,449.8735632183908,26.044736842105266,57.31707317073171,19.818918918918918,676.6543209876543
2023-05-31,39145.0,439.8314606741573,26.887323943661972,54.8027397260274,21.771052631578947,659.6172839506173
2023-06-30,43112.0,473.75824175824175,27.91411764705882,58.21294117647059,23.135616438356166,629.9466666666667
2023-07-31,45831.0,467.66326530612247,26.46989247311828,59.3635294117647,20.637349397590363,616.056179775281
2023-08-31,40084.0,460.735632183908,26.722368421052632,58.5,21.572602739726026,649.4375
2023-09-30,46236.0,486.69473684210527,27.29759036144578,58.254651162790694,22.548235294117646,593.5119047619048
2023-10-31,45953.0,478.6770833333333,27.847126436781608,58.71927710843373,20.928048780487803,630.8965517241379
2023-11-30,43970.0,483.1868131868132,28.093902439024387,55.833333333333336,21.75625,600.8571428571429
2023-12-31,46031.0,479.4895833333333,26.85411764705882,56.36,22.6375,727.2098765432099
2024-01-31,42404.0,471.15555555555557,26.47529411764706,60.218518518518515,22.489473684210527,690.6024096385543
2024-02-29,42540.0,483.40909090909093,26.07560975609756,57.62266666666667,21.583116883116883,663.6455696202531
2024-03-31,44673.0,480.35483870967744,25.571428571428573,59.25925925925926,20.840697674418603,691.9186046511628
2024-04-30,41966.0,482.367816091954,26.41184210526316,60.25974025974026,22.073333333333334,724.8888888888889
2024-05-31,41484.0,476.82758620689657,28.13076923076923,60.15064935064935,21.619230769230768,614.3896103896104
2024-06-30,41486.0,455.8901098901099,26.959259259259255,59.04567901234568,23.42962962962963,657.7820512820513
2024-07-31,41167.0,462.55056179775283,27.226865671641793,60.095294117647065,20.8320987654321,708.0886075949367
2024-08-31,42414.0,466.0879120879121,28.50722891566265,56.225,21.839024390243903,673.1309523809524
2024-09-30,39366.0,474.28915662650604,28.295890410958904,58.352777777777774,22.813333333333333,615.7702702702703
2024-10-31,44889.0,477.5425531914894,27.05697674418605,56.7,20.90952380952381,580.3678160919541
2024-11-30,41137.0,489.7261904761905,26.6746835443038,52.80140845070423,21.333802816901407,646.8701298701299
2024-12-31,47699.0,476.99,25.920689655172414,58.871111111111105,23.149425287356323,618.7
2025-01-31,45709.0,466.4183673469388,26.322619047619046,56.43536585365853,21.38222222222222,648.6703296703297
2025-02-28,41545.0,483.0813953488372,28.293421052631583,57.923376623376626,22.122077922077924,654.8481012658228
2025-03-31,43350.0,476.3736263736264,29.175308641975306,58.91558441558441,21.88133333333333,662.1764705882352
2025-04-30,46076.0,470.16326530612247,27.993827160493826,60.708749999999995,21.765432098765434,704.3863636363636
2025-05-31,44999.0,459.1734693877551,28.429069767441863,58.52298850574713,21.521428571428572,598.4418604651163
2025-06-30,42647.0,463.55434782608694,26.84047619047619,57.00963855421687,20.01125,734.4302325581396
2025-07-31,41420.0,470.6818181818182,26.146341463414632,56.40384615384615,22.0025,670.7916666666666
2025-08-31,46260.0,476.9072164948454,29.49195402298851,54.01647058823529,20.92948717948718,627.3
2025-09-30,42548.0,478.0674157303371,29.613698630136987,57.93552631578948,21.774074074074075,682.1139240506329
2025-10-31,43296.0,465.5483870967742,28.859493670886078,57.69375,20.756470588235295,679.1818181818181
2025-11-30,44045.0,489.3888888888889,25.652439024390244,57.382051282051286,23.18536585365854,723.1851851851852
2025-12-31,33095.0,453.35616438356163,28.322033898305083,53.17462686567164,20.51212121212121,683.5909090909091
